Nama,Setoran_Awal,Jangka_Waktu,Bunga,Hasil_Bunga,Hasil_Bunga_Bulan,Total_Hasil_Investasi
Galur Prayoga,17000000,12,0.015,255000,3060000,20060000
Aulia Aurelia,14000000,12,0.035,490000,5880000,19880000
Jarwi Adhitama,10000000,12,0.02,200000,2400000,12400000
Gara Nababan,17000000,3,0.015,255000,765000,17765000
Respati Kuswoyo,14000000,3,0.025,350000,1050000,15050000
Wira Firgantoro,7000000,3,0.015,105000,315000,7315000
Saiful Supriyanto,20000000,3,0.025,500000,1500000,21500000
Praba Syahreza,7000000,6,0.015,105000,630000,7630000
Among Prasetyo,5000000,6,0.02,100000,600000,5600000
Kayun Nugroho,11000000,6,0.02,220000,1320000,12320000
Jane Anandya,7000000,6,0.025,175000,1050000,8050000
Catur Prabowo,7000000,6,0.025,175000,1050000,8050000
Tri Juwita,5000000,6,0.03,150000,900000,5900000
Maryadi Simanjuntak,9000000,6,0.025,225000,1350000,10350000
Samsul Zulkarnain,14000000,3,0.035,490000,1470000,15470000
Cakrawala Damanik,19000000,12,0.02,380000,4560000,23560000
Gawati Anjani,14000000,6,0.03,420000,2520000,16520000
Kartika Handayani,9000000,6,0.02,180000,1080000,10080000
Praba Rendra,19000000,3,0.02,380000,1140000,20140000
Titin Pudjiastuti,20000000,12,0.025,500000,6000000,26000000
Febi Utami,7000000,6,0.025,175000,1050000,8050000
Wirda Mayasari,17000000,6,0.015,255000,1530000,18530000
Adika Abiputra,14000000,6,0.025,350000,2100000,16100000
Halim Mansur,12000000,6,0.03,360000,2160000,14160000
Jayadi Salahudin,10000000,6,0.035,350000,2100000,12100000
Karna Ahmad,19000000,3,0.025,475000,1425000,20425000
Shania Saputri,18000000,3,0.015,270000,810000,18810000
Maida Fernanda,10000000,6,0.025,250000,1500000,11500000
Karsana Firgantoro,9000000,3,0.015,135000,405000,9405000
Purwanto Handoko,15000000,6,0.015,225000,1350000,16350000
Aisyah Fujiati,5000000,12,0.025,125000,1500000,6500000
Jais Prasetyo,17000000,6,0.03,510000,3060000,20060000
Prasetya Tampubolon,18000000,6,0.025,450000,2700000,20700000
Asmianto Sinaga,18000000,12,0.035,630000,7560000,25560000
Bahuraksa Saptono,18000000,12,0.025,450000,5400000,23400000
Asirwada Fabian,7000000,3,0.035,245000,735000,7735000
Maria Mulyani,19000000,3,0.035,665000,1995000,20995000
Jefri Hidayat,11000000,6,0.03,330000,1980000,12980000
Novita Putri,10000000,12,0.025,250000,3000000,13000000
Tira Kusuma,5000000,3,0.025,125000,375000,5375000
Sasha Andriani,14000000,12,0.025,350000,4200000,18200000
Cakrajiya Iswahyudi,10000000,3,0.025,250000,750000,10750000
Devi Rahmawati,15000000,6,0.025,375000,2250000,17250000
Paiman Najmudin,16000000,3,0.035,560000,1680000,17680000
Linda Rahmawati,20000000,3,0.03,600000,1800000,21800000
Ridwan Megantara,8000000,3,0.025,200000,600000,8600000
Yunita Maharani,17000000,3,0.015,255000,765000,17765000
Digdaya Iswahyudi,16000000,6,0.025,400000,2400000,18400000
Rosa Azizah,8000000,3,0.035,280000,840000,8840000
Ratih Laksmiwati,16000000,6,0.025,400000,2400000,18400000
Omar Nugroho,5000000,6,0.035,175000,1050000,6050000
Ajeng Wahyuni,18000000,3,0.02,360000,1080000,19080000
Kusuma Saragih,9000000,6,0.03,270000,1620000,10620000
Saiful Mandala,19000000,3,0.035,665000,1995000,20995000
Hartana Kurniawan,20000000,6,0.015,300000,1800000,21800000
Viktor Prasasta,10000000,6,0.02,200000,1200000,11200000
Jane Azizah,15000000,3,0.015,225000,675000,15675000
Jaya Siregar,19000000,6,0.025,475000,2850000,21850000
Karen Anandya,17000000,6,0.035,595000,3570000,20570000
Marsudi Sitompul,18000000,3,0.025,450000,1350000,19350000
Aisyah Zahrah,10000000,6,0.025,250000,1500000,11500000
Fitri Nurlaela,20000000,3,0.025,500000,1500000,21500000
Mahesa Winarno,11000000,3,0.025,275000,825000,11825000
Jabal Mustofa,16000000,12,0.035,560000,6720000,22720000
Cici Ananda,10000000,12,0.025,250000,3000000,13000000
Warsita Firgantoro,12000000,3,0.015,180000,540000,12540000
Paiman Gunarto,8000000,6,0.025,200000,1200000,9200000
Garang Tampubolon,20000000,12,0.015,300000,3600000,23600000
Cayadi Syahreza,6000000,6,0.025,150000,900000,6900000
Lanang Sitompul,16000000,3,0.035,560000,1680000,17680000
Putri Putri,5000000,6,0.015,75000,450000,5450000
Jarwa Mangunsong,16000000,12,0.02,320000,3840000,19840000
Gilang Latupono,15000000,12,0.015,225000,2700000,17700000
Juli Salma,8000000,6,0.02,160000,960000,8960000
Galur Utama,9000000,6,0.03,270000,1620000,10620000
Malika Wahyuni,12000000,3,0.025,300000,900000,12900000
Dadap Pranowo,8000000,6,0.025,200000,1200000,9200000
Faizah Purnama,14000000,6,0.035,490000,2940000,16940000
Patricia Amanta,14000000,3,0.035,490000,1470000,15470000
Padmi Astuti,14000000,6,0.035,490000,2940000,16940000
Jarwadi Tarihoran,17000000,12,0.025,425000,5100000,22100000
Pandu Nugraha,18000000,3,0.02,360000,1080000,19080000
Jagaraga Mangunsong,14000000,3,0.025,350000,1050000,15050000
Azalea Melinda,14000000,3,0.025,350000,1050000,15050000
Olga Prasasta,9000000,3,0.025,225000,675000,9675000
Zamira Ardiyanti,16000000,6,0.02,320000,1920000,17920000
Prabu Sihombing,5000000,12,0.025,125000,1500000,6500000
Tira Maheswari,10000000,6,0.03,300000,1800000,11800000
Harsanto Alamsyah,9000000,3,0.02,180000,540000,9540000
Ophelia Anandya,7000000,6,0.02,140000,840000,7840000
Paulin Harini,7000000,12,0.025,175000,2100000,9100000
Maida Rahimah,11000000,6,0.025,275000,1650000,12650000
Jefri Situmorang,11000000,6,0.035,385000,2310000,13310000
Balidin Megantara,18000000,3,0.025,450000,1350000,19350000
Labuh Dirgantara,20000000,3,0.02,400000,1200000,21200000
Tirtayasa Manullang,16000000,12,0.035,560000,6720000,22720000
Galuh Mandala,18000000,12,0.03,540000,6480000,24480000
Tasnim Mansur,6000000,6,0.035,210000,1260000,7260000
Liman Pranowo,15000000,3,0.03,450000,1350000,16350000
Dono Aswandi,10000000,6,0.035,350000,2100000,12100000
Nilam Halimah,18000000,6,0.03,540000,3240000,21240000
Dadap Himawan,5000000,6,0.015,75000,450000,5450000
Asman Rayhan,17000000,6,0.035,595000,3570000,20570000
Cawisadi Hutasoit,14000000,3,0.025,350000,1050000,15050000
Rahman Abimanyu,5000000,3,0.03,150000,450000,5450000
Kamidin Supriyanto,6000000,6,0.015,90000,540000,6540000
Harja Suwarno,16000000,3,0.025,400000,1200000,17200000
Rika Agustina,18000000,3,0.025,450000,1350000,19350000
Darimin Salahudin,11000000,3,0.02,220000,660000,11660000
Hasta Haryanto,6000000,3,0.015,90000,270000,6270000
Hasim Simanjuntak,16000000,12,0.02,320000,3840000,19840000
Padma Hariyah,6000000,6,0.025,150000,900000,6900000
Jarwadi Anggriawan,18000000,6,0.015,270000,1620000,19620000
Asman Handoko,12000000,12,0.03,360000,4320000,16320000
Dadi Fabian,19000000,3,0.02,380000,1140000,20140000
Nasim Wicaksono,14000000,3,0.025,350000,1050000,15050000
Paramita Mandasari,5000000,3,0.02,100000,300000,5300000
Hardi Hutagalung,12000000,3,0.03,360000,1080000,13080000
Najam Satria,12000000,3,0.02,240000,720000,12720000
Okto Natsir,16000000,6,0.03,480000,2880000,18880000
Candrakanta Firmansyah,14000000,6,0.025,350000,2100000,16100000
Kamila Rahmawati,8000000,6,0.035,280000,1680000,9680000
Septi Andini,20000000,6,0.02,400000,2400000,22400000
Ina Ananda,8000000,6,0.015,120000,720000,8720000
Tari Namaga,5000000,6,0.03,150000,900000,5900000
Yusuf Sinaga,14000000,6,0.035,490000,2940000,16940000
Warji Marbun,20000000,12,0.035,700000,8400000,28400000
Joko Yudhistira,9000000,6,0.025,225000,1350000,10350000
Azalea Hassanah,20000000,3,0.035,700000,2100000,22100000
Carla Fernanda,20000000,3,0.025,500000,1500000,21500000
Vania Puspita,5000000,6,0.015,75000,450000,5450000
Hesti Prastuti,18000000,3,0.025,450000,1350000,19350000
Rudi Sihombing,10000000,6,0.035,350000,2100000,12100000
Asirwanda Waluyo,17000000,6,0.02,340000,2040000,19040000
Hafshah Amanta,20000000,6,0.02,400000,2400000,22400000
Erik Darmawan,17000000,6,0.025,425000,2550000,19550000
Banara Hakim,16000000,6,0.02,320000,1920000,17920000
Yono Setiawan,8000000,6,0.025,200000,1200000,9200000
Gatra Siregar,18000000,3,0.035,630000,1890000,19890000
Samsul Prasasta,16000000,6,0.02,320000,1920000,17920000
Rizki Satria,10000000,6,0.025,250000,1500000,11500000
Chandra Syahreza,14000000,3,0.015,210000,630000,14630000
Limar Purwadi,8000000,12,0.035,280000,3360000,11360000
Dipa Suwarno,16000000,6,0.035,560000,3360000,19360000
Dewi Fujiati,18000000,6,0.025,450000,2700000,20700000
Harimurti Natsir,7000000,3,0.035,245000,735000,7735000
Lukman Pradana,7000000,3,0.02,140000,420000,7420000
Upik Gunarto,19000000,6,0.03,570000,3420000,22420000
Linda Kuswandari,12000000,3,0.015,180000,540000,12540000
Teddy Haikal,19000000,6,0.025,475000,2850000,21850000
Mursita Haryanto,11000000,6,0.025,275000,1650000,12650000
Mitra Putra,5000000,6,0.02,100000,600000,5600000
Mulyono Kurniawan,9000000,6,0.025,225000,1350000,10350000
Yunita Amanta,20000000,3,0.035,700000,2100000,22100000
Jumari Januar,16000000,6,0.035,560000,3360000,19360000
Kemal Setiawan,11000000,12,0.025,275000,3300000,14300000
Cahyono Tampubolon,5000000,12,0.015,75000,900000,5900000
Salimah Saputri,10000000,12,0.03,300000,3600000,13600000
Radika Permadi,9000000,12,0.025,225000,2700000,11700000
Maida Andini,12000000,3,0.02,240000,720000,12720000
Legawa Halim,17000000,12,0.025,425000,5100000,22100000
Raditya Kuswoyo,18000000,3,0.025,450000,1350000,19350000
Mustofa Gunarto,14000000,6,0.025,350000,2100000,16100000
Jais Simbolon,18000000,6,0.025,450000,2700000,20700000
Warsita Mandala,12000000,3,0.025,300000,900000,12900000
Ditya Amanta,17000000,12,0.02,340000,4080000,21080000
Ilyas Wicaksono,19000000,3,0.025,475000,1425000,20425000
Mulyanto Utama,19000000,3,0.015,285000,855000,19855000
Aslijan Halim,16000000,3,0.03,480000,1440000,17440000
Nova Fujiati,11000000,3,0.02,220000,660000,11660000
Paris Aryani,9000000,12,0.02,180000,2160000,11160000
Maryanto Perdana,19000000,12,0.025,475000,5700000,24700000
Septi Putri,9000000,12,0.025,225000,2700000,11700000
Linda Utami,7000000,6,0.025,175000,1050000,8050000
Warta Wijaya,7000000,12,0.025,175000,2100000,9100000
Ika Saraswati,5000000,6,0.015,75000,450000,5450000
Jamil Sihombing,15000000,3,0.03,450000,1350000,16350000
Dimaz Ardana,16000000,6,0.025,400000,2400000,18400000
Salimah Purnawati,18000000,3,0.035,630000,1890000,19890000
Eman Airlangga,14000000,12,0.025,350000,4200000,18200000
Rahmawati Salma,19000000,12,0.025,475000,5700000,24700000
Tsabita Aryani,16000000,3,0.02,320000,960000,16960000
Karsana Salahudin,11000000,6,0.02,220000,1320000,12320000
Bakiman Gunarto,20000000,6,0.025,500000,3000000,23000000
Shakila Wijayanti,18000000,12,0.025,450000,5400000,23400000
Hari Hidayat,11000000,6,0.02,220000,1320000,12320000
Farah Saraswati,12000000,12,0.025,300000,3600000,15600000
Salimah Farida,14000000,6,0.035,490000,2940000,16940000
Dartono Saputra,17000000,6,0.015,255000,1530000,18530000
Wani Azizah,11000000,6,0.025,275000,1650000,12650000
Wardaya Pradana,12000000,6,0.025,300000,1800000,13800000
Ajimat Tampubolon,8000000,6,0.035,280000,1680000,9680000
Hasim Zulkarnain,10000000,12,0.03,300000,3600000,13600000
Vinsen Sudrajat,14000000,3,0.015,210000,630000,14630000
Balidin Utama,8000000,3,0.025,200000,600000,8600000
Galang Prayoga,7000000,6,0.035,245000,1470000,8470000
Nugraha Sihotang,17000000,3,0.035,595000,1785000,18785000
Mustofa Agustian,19000000,6,0.025,475000,2850000,21850000
Safina Melinda,8000000,6,0.025,200000,1200000,9200000
Timbul Pratama,15000000,3,0.015,225000,675000,15675000
Sartika Azzahra,15000000,12,0.035,525000,6300000,21300000
Nur Rachmawati,17000000,12,0.025,425000,5100000,22100000
Rahmawati Wulandari,18000000,6,0.035,630000,3780000,21780000
Ridwan Maulana,14000000,6,0.025,350000,2100000,16100000
Irwan Mustofa,18000000,12,0.02,360000,4320000,22320000
Cahyo Rahardian,20000000,3,0.025,500000,1500000,21500000
Okto Wicaksono,18000000,6,0.025,450000,2700000,20700000
Pandu Wasita,5000000,6,0.025,125000,750000,5750000
Hairyanto Prabowo,12000000,6,0.025,300000,1800000,13800000
Kuncara Nababan,16000000,12,0.02,320000,3840000,19840000
Darmana Faresta,10000000,6,0.035,350000,2100000,12100000
Ella Maheswari,14000000,12,0.025,350000,4200000,18200000
Utama Fabian,6000000,6,0.015,90000,540000,6540000
Agustina Hartati,15000000,3,0.02,300000,900000,15900000
Koko Maryadi,12000000,12,0.02,240000,2880000,14880000
Damu Hidayat,15000000,3,0.03,450000,1350000,16350000
Rusman Prakasa,7000000,3,0.025,175000,525000,7525000
Hendra Pratama,7000000,12,0.025,175000,2100000,9100000
Cemani Widodo,20000000,6,0.025,500000,3000000,23000000
Cayadi Satria,11000000,6,0.025,275000,1650000,12650000
Panji Widodo,10000000,12,0.025,250000,3000000,13000000
Niyaga Megantara,20000000,6,0.025,500000,3000000,23000000
Makuta Oktavian,14000000,6,0.03,420000,2520000,16520000
Sabri Maryadi,5000000,6,0.015,75000,450000,5450000
Kalim Himawan,10000000,6,0.03,300000,1800000,11800000
Tira Rahimah,7000000,3,0.02,140000,420000,7420000
Keisha Damayanti,11000000,6,0.02,220000,1320000,12320000
Rachel Afifah,18000000,6,0.025,450000,2700000,20700000
Daru Nainggolan,20000000,3,0.015,300000,900000,20900000
Kalim Lazuardi,8000000,12,0.02,160000,1920000,9920000
Rama Darmawan,5000000,3,0.02,100000,300000,5300000
Gaman Herlambang,8000000,6,0.03,240000,1440000,9440000
Lurhur Prakasa,17000000,12,0.02,340000,4080000,21080000
Kemal Pratama,7000000,6,0.035,245000,1470000,8470000
Karna Yanuar,7000000,3,0.025,175000,525000,7525000
Ratna Rahmawati,11000000,6,0.02,220000,1320000,12320000
Gandi Mansur,14000000,12,0.02,280000,3360000,17360000
Opung Wardana,10000000,6,0.02,200000,1200000,11200000
Kani Padmasari,15000000,12,0.035,525000,6300000,21300000
Mursita Rendra,10000000,6,0.035,350000,2100000,12100000
Pardi Maulana,7000000,6,0.025,175000,1050000,8050000
Mutia Aryanti,9000000,6,0.025,225000,1350000,10350000
Dacin Prasasta,19000000,12,0.015,285000,3420000,22420000
Asirwanda Widodo,8000000,3,0.02,160000,480000,8480000
Gandi Mangunsong,8000000,3,0.03,240000,720000,8720000
Adinata Simbolon,20000000,6,0.015,300000,1800000,21800000
Kawaca Hutapea,14000000,12,0.015,210000,2520000,16520000
Ifa Melinda,17000000,3,0.02,340000,1020000,18020000
Prima Febian,12000000,3,0.035,420000,1260000,13260000
Vania Utami,7000000,3,0.015,105000,315000,7315000
Vega Uwais,11000000,6,0.025,275000,1650000,12650000
Tasnim Damanik,17000000,12,0.025,425000,5100000,22100000
Harjo Wardana,8000000,12,0.025,200000,2400000,10400000
Damar Handoko,7000000,3,0.035,245000,735000,7735000
Vania Hasanah,9000000,6,0.015,135000,810000,9810000
Kawaya Sihombing,15000000,6,0.03,450000,2700000,17700000
Slamet Ahmad,14000000,3,0.015,210000,630000,14630000
Salwa Yulianti,7000000,3,0.025,175000,525000,7525000
Yunita Winarsih,9000000,6,0.035,315000,1890000,10890000
Jagapati Ahmad,9000000,6,0.015,135000,810000,9810000
Ina Puspasari,17000000,12,0.025,425000,5100000,22100000
Nrima Sabian,19000000,3,0.025,475000,1425000,20425000
Cindy Anjani,9000000,6,0.035,315000,1890000,10890000
Paiman Syahreza,8000000,6,0.02,160000,960000,8960000
Jarwa Wijaya,19000000,12,0.02,380000,4560000,23560000
Viman Handoko,18000000,6,0.035,630000,3780000,21780000
Limar Nugraha,18000000,3,0.02,360000,1080000,19080000
Hairyanto Putra,17000000,3,0.02,340000,1020000,18020000
Rafi Prakasa,7000000,6,0.03,210000,1260000,8260000
Eva Elvina,18000000,6,0.03,540000,3240000,21240000
Cahyanto Nababan,17000000,12,0.02,340000,4080000,21080000
Zelaya Agustina,9000000,6,0.025,225000,1350000,10350000
Ajimat Haryanto,7000000,6,0.025,175000,1050000,8050000
Shania Purwanti,7000000,6,0.035,245000,1470000,8470000
Respati Santoso,7000000,6,0.025,175000,1050000,8050000
Amelia Puspita,9000000,3,0.025,225000,675000,9675000
Caturangga Natsir,7000000,12,0.03,210000,2520000,9520000
Uchita Usamah,18000000,12,0.025,450000,5400000,23400000
Keisha Andini,6000000,12,0.02,120000,1440000,7440000
Catur Situmorang,19000000,6,0.02,380000,2280000,21280000
Kamaria Hassanah,17000000,12,0.02,340000,4080000,21080000
Ina Palastri,15000000,6,0.02,300000,1800000,16800000
Cakrabirawa Darojat,14000000,6,0.025,350000,2100000,16100000
Silvia Saputri,16000000,6,0.02,320000,1920000,17920000
Gading Ahmad,9000000,6,0.025,225000,1350000,10350000
Karsana Airlangga,8000000,6,0.035,280000,1680000,9680000
Kartika Halimah,17000000,6,0.025,425000,2550000,19550000
Gadang Arifin,18000000,6,0.02,360000,2160000,20160000
Zulfa Kusuma,7000000,6,0.03,210000,1260000,8260000
Puput Fujiati,10000000,3,0.025,250000,750000,10750000
Langgeng Purnawarman,15000000,6,0.03,450000,2700000,17700000
Sarah Aqila,11000000,6,0.025,275000,1650000,12650000
Luwar Ardianto,11000000,6,0.02,220000,1320000,12320000
Nyoman Siregar,10000000,3,0.03,300000,900000,10900000
Asmuni Dirgantara,17000000,3,0.03,510000,1530000,18530000
Dadap Manullang,8000000,12,0.02,160000,1920000,9920000
Mustofa Nugraha,9000000,6,0.025,225000,1350000,10350000
Ivan Hutasoit,11000000,3,0.025,275000,825000,11825000
Usman Abimanyu,19000000,3,0.025,475000,1425000,20425000
Ismail Sihombing,15000000,6,0.035,525000,3150000,18150000
Yessi Mardhiyah,10000000,6,0.025,250000,1500000,11500000
Kunthara Wijaya,18000000,6,0.025,450000,2700000,20700000
Nilam Novitasari,10000000,12,0.02,200000,2400000,12400000
Ganda Tamba,10000000,12,0.02,200000,2400000,12400000
Ikin Sinaga,18000000,6,0.025,450000,2700000,20700000
Tira Anandya,10000000,6,0.02,200000,1200000,11200000
Margana Abiputra,19000000,6,0.015,285000,1710000,20710000
Jindra Damanik,18000000,12,0.025,450000,5400000,23400000
Gamani Napitupulu,19000000,6,0.025,475000,2850000,21850000
Syahrini Anandya,5000000,3,0.015,75000,225000,5225000
Kayun Sitompul,9000000,6,0.025,225000,1350000,10350000
Ilyas Uwais,19000000,3,0.035,665000,1995000,20995000
Dimaz Sihombing,12000000,12,0.025,300000,3600000,15600000
Cemeti Darmawan,7000000,6,0.02,140000,840000,7840000
Dimas Adriansyah,14000000,3,0.015,210000,630000,14630000
Karna Alamsyah,5000000,3,0.015,75000,225000,5225000
Syahrini Hartati,9000000,3,0.02,180000,540000,9540000
Marsito Irawan,9000000,6,0.015,135000,810000,9810000
Paris Widiastuti,15000000,3,0.035,525000,1575000,16575000
Wisnu Jailani,20000000,6,0.02,400000,2400000,22400000
Ganesha Wijayanti,5000000,6,0.03,150000,900000,5900000
Cawisono Aswandi,14000000,12,0.035,490000,5880000,19880000
Himawan Prabowo,8000000,12,0.035,280000,3360000,11360000
Jati Situmorang,8000000,3,0.025,200000,600000,8600000
Gatra Abimanyu,9000000,6,0.02,180000,1080000,10080000
Limar Hidayanto,7000000,12,0.02,140000,1680000,8680000
Ratih Suartini,10000000,3,0.035,350000,1050000,11050000
Surya Hutapea,9000000,3,0.035,315000,945000,9945000
Bakti Rajata,16000000,3,0.035,560000,1680000,17680000
Emin Abiputra,20000000,6,0.025,500000,3000000,23000000
Yuliana Purnama,6000000,6,0.015,90000,540000,6540000
Danuja Sirait,15000000,6,0.025,375000,2250000,17250000
Praba Hutagalung,7000000,3,0.015,105000,315000,7315000
Gangsa Simbolon,7000000,6,0.025,175000,1050000,8050000
Lantar Thamrin,15000000,12,0.035,525000,6300000,21300000
Dadap Sihombing,14000000,6,0.025,350000,2100000,16100000
Tania Juwita,17000000,3,0.025,425000,1275000,18275000
Bagiya Perdana,11000000,6,0.015,165000,990000,11990000
Dwi Kahyang,9000000,6,0.025,225000,1350000,10350000
Ade Wijayanti,18000000,6,0.015,270000,1620000,19620000
Harimurti Damanik,7000000,12,0.025,175000,2100000,9100000
Waluyo Fabian,9000000,3,0.035,315000,945000,9945000
Restu Purnawati,20000000,12,0.035,700000,8400000,28400000
Cinta Andriani,9000000,6,0.02,180000,1080000,10080000
Maman Nugraha,14000000,6,0.035,490000,2940000,16940000
Cinthia Fathina,5000000,6,0.015,75000,450000,5450000
Gilang Prasetyo,19000000,6,0.025,475000,2850000,21850000
Cemani Lesmana,12000000,6,0.035,420000,2520000,14520000
Vero Supriyanto,20000000,6,0.02,400000,2400000,22400000
Edward Kusumo,20000000,6,0.035,700000,4200000,24200000
Rangga Sihotang,17000000,3,0.03,510000,1530000,18530000
Sintia Riyanti,7000000,3,0.025,175000,525000,7525000
Satya Situmorang,9000000,6,0.02,180000,1080000,10080000
Banara Hutagalung,14000000,12,0.035,490000,5880000,19880000
Galiono Wasita,9000000,6,0.035,315000,1890000,10890000
Dono Saefullah,11000000,6,0.035,385000,2310000,13310000
Dimaz Ardianto,20000000,6,0.015,300000,1800000,21800000
Kawaya Wardana,18000000,6,0.035,630000,3780000,21780000
Galih Damanik,16000000,3,0.025,400000,1200000,17200000
Ani Halimah,19000000,6,0.025,475000,2850000,21850000
Uchita Andini,20000000,6,0.02,400000,2400000,22400000
